url,title,description,published_date
https://samakal.com/whole-country/article/304110/%E0%A6%B0%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%9F-%E0%A6%B9%E0%A6%BE%E0%A6%89%E0%A6%9C%E0%A7%87-%E2%80%98%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%80%E0%A6%B8%E0%A6%B9%E2%80%99-%E0%A6%93%E0%A6%B8%E0%A6%BF%E0%A6%95%E0%A7%87-%E0%A6%86%E0%A6%9F%E0%A6%95%E0%A7%87-%E2%80%98%E0%A6%9A%E0%A6%BE%E0%A6%81%E0%A6%A6%E0%A6%BE%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%BF%E0%A6%B0%E2%80%99-%E0%A6%85%E0%A6%AD%E0%A6%BF%E0%A6%AF%E0%A7%8B%E0%A6%97,ভিডিও ফাঁসে তোলপাড় / রেস্ট হাউজে ‘নারীসহ’ ওসিকে আটকে ‘চাঁদাবাজির’ অভিযোগ,যশোরে পানি উন্নয়ন বোর্ডের (পাউবো) রেস্ট হাউজে ‘ওসিসহ নারীকে আটকে চাঁদাবাজির’ অভিযোগ নিয়ে তোলপাড় চলছে। এ সংক্রান্ত সিসিটিভি ফুটেজ ফাঁস হওয়ার পর এ নিয়ে চাঞ্চল্যের সৃষ্টি হয়েছে।,2025-07-06
https://samakal.com/whole-country/article/304014/%E0%A6%A7%E0%A6%BE%E0%A6%AE%E0%A6%B0%E0%A6%BE%E0%A6%87%E0%A7%9F%E0%A7%87-%E0%A6%89%E0%A6%B2%E0%A7%8D%E0%A6%9F%E0%A7%8B-%E0%A6%B0%E0%A6%A5%E0%A6%AF%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A7%9F-%E0%A6%A8%E0%A6%BF%E0%A6%B9%E0%A6%A4-%E0%A7%A7-%E0%A6%86%E0%A6%B9%E0%A6%A4-%E0%A7%A7%E0%A7%A6,"ধামরাইয়ে উল্টো রথযাত্রায় নিহত ১, আহত ১০",,2025-07-06
https://samakal.com/whole-country/article/304043/%E0%A6%96%E0%A6%BE%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A6%AC-%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%AE%E0%A6%B8%E0%A7%82%E0%A6%9A%E0%A6%BF-%E0%A6%B6%E0%A7%81%E0%A6%B0%E0%A7%81-%E0%A6%B9%E0%A6%B2%E0%A7%87-%E0%A6%9A%E0%A6%BE%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%A6%E0%A6%BE%E0%A6%AE-%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%A3%E0%A7%87-%E0%A6%86%E0%A6%B8%E0%A6%AC%E0%A7%87:-%E0%A6%96%E0%A6%BE%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%89%E0%A6%AA%E0%A6%A6%E0%A7%87%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BE,খাদ্যবান্ধব কর্মসূচি শুরু হলে চালের দাম নিয়ন্ত্রণে আসবে: খাদ্য উপদেষ্টা,"খাদ্য উপদেষ্টা আলী ইমাম মজুমদার বলেছেন, সরকার চাহিদা মত ধান-চাল সংগ্রহ শেষ করেছে‌। আগামী মাস থেকে ওএমএস এবং খাদ্যবান্ধব কর্মসূচি শুরু হবে। এটা শুরু হলে চালের দাম নিয়ন্ত্রণে আসবে।",2025-07-06
https://samakal.com/whole-country/article/304037/%E0%A6%AE%E0%A7%81%E0%A6%B0%E0%A6%BE%E0%A6%A6%E0%A6%A8%E0%A6%97%E0%A6%B0%E0%A7%87-%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%A8%E0%A7%88%E0%A6%A4%E0%A6%BF%E0%A6%95-%E0%A6%A6%E0%A7%8D%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%AC-%E0%A6%A5%E0%A7%87%E0%A6%95%E0%A7%87-%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%9C%E0%A6%BF%E0%A6%95-%E0%A6%85%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BF%E0%A6%B0%E0%A6%A4%E0%A6%BE,কায়কোবাদ-আসিফ সমর্থকদের দ্বন্দ্ব / মুরাদনগরে রাজনৈতিক দ্বন্দ্ব থেকে সামাজিক অস্থিরতা,বিএনপির ভাইস চেয়ারম্যান কাজী শাহ মোফাজ্জল হোসাইন কায়কোবাদ কুমিল্লা-৩ (মুরাদনগর) আসন থেকে পাঁচবার সংসদ সদস্য নির্বাচিত হয়েছেন। বৈষম্যবিরোধী ছাত্র আন্দোলনের নেতৃত্ব থেকে স্থানীয়,2025-07-06
https://samakal.com/whole-country/article/304035/%E0%A6%89%E0%A6%B2%E0%A7%8D%E0%A6%9F%E0%A7%8B-%E0%A6%B0%E0%A6%A5%E0%A6%AF%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%B0-%E0%A6%AE%E0%A6%A7%E0%A7%8D%E0%A6%AF-%E0%A6%A6%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%87-%E0%A6%B6%E0%A7%87%E0%A6%B7-%E0%A6%B9%E0%A6%B2%E0%A7%8B-%E0%A6%B0%E0%A6%A5-%E0%A6%89%E0%A7%8E%E0%A6%B8%E0%A6%AC,উল্টো রথযাত্রার মধ্য দিয়ে শেষ হলো রথ উৎসব,"উল্টো রথযাত্রার মধ্য দিয়ে শনিবার শেষ হয়েছে সনাতন ধর্মাবলম্বীদের অন্যতম ঐতিহ্যবাহী ধর্মীয় অনুষ্ঠান শ্রী শ্রী জগন্নাথ দেবের রথযাত্রা উৎসব। এ উপলক্ষে রাজধানী, চট্টগ্রামসহ দেশের বিভিন্ন স্থানে উল্টো",2025-07-06
https://samakal.com/whole-country/article/304034/%E0%A6%AF%E0%A6%B6%E0%A7%8B%E0%A6%B0%E0%A7%87-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%9A%E0%A6%A8-%E0%A6%95%E0%A6%B0%E0%A6%A4%E0%A7%87-%E0%A6%9A%E0%A6%BE%E0%A6%A8-%E0%A6%B8%E0%A6%B9%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A7%80-%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9F%E0%A6%B0%E0%A7%8D%E0%A6%A8%E0%A6%BF-%E0%A6%9C%E0%A7%87%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%87%E0%A6%B2,যশোরে নির্বাচন করতে চান সহকারী অ্যাটর্নি জেনারেল,"যুবদলের ঢাকা মহানগর দক্ষিণের যুগ্ম আহ্বায়ক ও সহকারী অ্যাটর্নি জেনারেল অ্যাডভোকেট নূরে আলম সিদ্দিকী সোহাগ জাতীয় নির্বাচনে যশোর-৪ আসন (বাঘারপাড়া, অভয়নগর ও বসুন্দিয়া) থেকে মনোনয়ন প্রত্যাশা করছেন।",2025-07-06
https://samakal.com/whole-country/article/304031/%E0%A6%9A%E0%A6%9F%E0%A7%8D%E0%A6%9F%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A7%87-%E0%A6%A1%E0%A7%87%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A7%81-%E0%A6%B0%E0%A7%8B%E0%A6%97%E0%A7%80-%E0%A6%8F%E0%A6%AC%E0%A6%BE%E0%A6%B0-%E0%A6%9A%E0%A6%BE%E0%A6%B0-%E0%A6%97%E0%A7%81%E0%A6%A3,চট্টগ্রামে ডেঙ্গু রোগী এবার চার গুণ,চট্টগ্রামে বাড়ছে ডেঙ্গু আক্রান্ত রোগীর সংখ্যা। আক্রান্তদের অনেকে ভর্তি হচ্ছেন হাসপাতালে। বাসায় থেকে কেউ কেউ এক থেকে দুই সপ্তাহ ধরে নিচ্ছেন চিকিৎসা। জুলাই মাসের শুরু থেকেই ভয়ংকর হচ্ছে,2025-07-06
https://samakal.com/whole-country/article/304030/%E0%A6%89%E0%A6%B2%E0%A7%8D%E0%A6%9F%E0%A7%8B-%E0%A6%B0%E0%A6%A5%E0%A6%AF%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A7%9F-%E0%A6%AD%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%A2%E0%A6%B2,উল্টো রথযাত্রায় ভক্তদের ঢল,ধামরাইয়ে যশোমাধবের উল্টো রথটান অনুষ্ঠিত হয়েছে। এ সময় কায়েতপাড়া থেকে যাত্রাবাড়ী পর্যন্ত আধা কিলোমিটার এলাকা ভক্তদের মিলনমেলায় পরিণত হয়। শনিবার এই উল্টো রথের মধ্য দিয়ে ৯ দিনের,2025-07-06
https://samakal.com/whole-country/article/304029/%E0%A6%AE%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A7%9C%E0%A6%95%E0%A7%87-%E0%A6%A6%E0%A6%BE%E0%A6%AA%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%AC%E0%A7%87%E0%A7%9C%E0%A6%BE%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A7%87-%E0%A6%85%E0%A6%9F%E0%A7%8B%E0%A6%B0%E0%A6%BF%E0%A6%95%E0%A6%B6%E0%A6%BE-%E0%A6%AC%E0%A6%BE%E0%A7%9C%E0%A6%9B%E0%A7%87-%E0%A6%A6%E0%A7%81%E0%A6%B0%E0%A7%8D%E0%A6%98%E0%A6%9F%E0%A6%A8%E0%A6%BE,"মহাসড়কে দাপিয়ে বেড়াচ্ছে অটোরিকশা, বাড়ছে দুর্ঘটনা",ময়মনসিংহে সড়ক-মহাসড়কে দাপিয়ে বেড়াচ্ছে সিএনজিচালিত অটোরিকশা। বিধিনিষেধের তোয়াক্কা না করে নির্বিঘ্নে চলাচল করছে এসব যানবাহন। ফলে প্রতিনিয়ত দীর্ঘ হচ্ছে সড়ক দুর্ঘটনায় হতাহতের,2025-07-06
https://samakal.com/whole-country/article/304028/%E0%A6%AD%E0%A6%BE%E0%A6%87%E0%A7%9F%E0%A7%87%E0%A6%B0-%E0%A6%B2%E0%A6%BE%E0%A6%B6-%E0%A6%A8%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%AC%E0%A6%BE%E0%A7%9C%E0%A6%BF-%E0%A6%AB%E0%A7%87%E0%A6%B0%E0%A6%BE%E0%A6%B0-%E0%A6%AA%E0%A6%A5%E0%A7%87-%E0%A6%A6%E0%A7%81%E0%A6%B0%E0%A7%8D%E0%A6%98%E0%A6%9F%E0%A6%A8%E0%A6%BE-%E0%A6%A8%E0%A6%BF%E0%A6%B9%E0%A6%A4-%E0%A7%A8,"ভাইয়ের লাশ নিয়ে বাড়ি ফেরার পথে দুর্ঘটনা, নিহত ২",দীর্ঘ এক বছর পর সৌদি আরব থেকে রুবেলের মরদেহ দেশে আসার খবরে ফটিকছড়িতে মরদেহের জন্য অপেক্ষায় ছিলেন স্বজনরা। কিন্তু বাড়ি ফেরার পথে কুমিল্লার চৌদ্দগ্রামে লাশবাহী অ্যাম্বুলেন্স দুর্ঘটনায় দু’জন নিহত হয়েছেন।,2025-07-06
https://samakal.com/whole-country/article/304027/%E0%A6%A8%E0%A6%BF%E0%A6%B7%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%A7-%E0%A6%97%E0%A6%BE%E0%A6%9B%E0%A7%87-%E0%A6%9B%E0%A7%87%E0%A7%9F%E0%A7%87-%E0%A6%AF%E0%A6%BE%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A7%87-%E0%A6%AC%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%9C%E0%A6%AE%E0%A6%BF,নিষিদ্ধ গাছে ছেয়ে যাচ্ছে বনের জমি,"পরিবেশ ও জীববৈচিত্র্য রক্ষায় ইউক্যালিপটাস ও আকাশমনি গাছের চারা রোপণ ও বিক্রি নিষিদ্ধ করেছে সরকার। গত ১৫ মে পরিবেশ, বন ও জলবায়ু পরিবর্তন মন্ত্রণালয়ের বন-১ অধিশাখা থেকে প্রজ্ঞাপন",2025-07-06
