url	title	description	published_date
https://samakal.com/bangladesh/article/303115/%E0%A6%86%E0%A6%A6%E0%A6%BE%E0%A6%B2%E0%A6%A4%E0%A7%87-%E0%A6%9A%E0%A7%81%E0%A6%AA-%E0%A6%AE%E0%A6%AE%E0%A6%A4%E0%A6%BE%E0%A6%9C-%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A6%BF%E0%A6%AE%E0%A7%81%E0%A6%96%E0%A7%87-%E0%A6%9B%E0%A6%BF%E0%A6%B2%E0%A7%87%E0%A6%A8-%E0%A6%B8%E0%A6%BE%E0%A6%AC%E0%A7%87%E0%A6%95-%E0%A6%8F%E0%A6%AE%E0%A6%AA%E0%A6%BF-%E0%A6%A4%E0%A7%81%E0%A6%B9%E0%A6%BF%E0%A6%A8	"?????? ??? ?????, ???????? ????? ????? ???? ?????"	?????????-? ????? ????? ???? ????? ???? ? ???????? ????? ????? ????? ???? ????? (????) ?????? ?????? ??????? ?? ?????? ???? ?????? ????? ??????????? ????????????? ?????? ???? ???	6/30/2025
https://samakal.com/bangladesh/article/303047/%E0%A6%A8%E0%A6%A4%E0%A7%81%E0%A6%A8-%E0%A6%AE%E0%A6%BE%E0%A6%AE%E0%A6%B2%E0%A6%BE%E0%A7%9F-%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%AA%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%BE%E0%A6%AC%E0%A7%87%E0%A6%95-%E0%A6%8F%E0%A6%AE%E0%A6%AA%E0%A6%BF-%E0%A6%AE%E0%A6%AE%E0%A6%A4%E0%A6%BE%E0%A6%9C%C2%A0	???? ?????? ????????? ????? ???? ?????	???????? ???????? ????? ???? ????? ?????? ?????????-? ????? ????? ???? ????? ????? ?????? ????????? ??????? ????? ?????? ?????? ?????? ?? ?????? ????? ??????????? ????????????? ????? ???? ?????? ????????? ?????????? ????? ?????? ??? ?? ???? ????	6/30/2025
https://samakal.com/bangladesh/article/303133/%E0%A6%AE%E0%A7%81%E0%A6%B0%E0%A6%BE%E0%A6%A6%E0%A6%A8%E0%A6%97%E0%A6%B0%E0%A7%87-%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A7%80%E0%A6%95%E0%A7%87-%E0%A6%A7%E0%A6%B0%E0%A7%8D%E0%A6%B7%E0%A6%A3%E0%A7%87%E0%A6%B0-%E0%A6%98%E0%A6%9F%E0%A6%A8%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A7%A9%E0%A7%AE-%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%9F-%E0%A6%A8%E0%A6%BE%E0%A6%97%E0%A6%B0%E0%A6%BF%E0%A6%95%E0%A7%87%E0%A6%B0-%E0%A6%A8%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%BE-%E0%A6%AC%E0%A6%BF%E0%A6%9A%E0%A6%BE%E0%A6%B0-%E0%A6%A6%E0%A6%BE%E0%A6%AC%E0%A6%BF	"????????? ?????? ??????? ?????? ?? ??????? ???????? ??????, ????? ????"	????????? ????????? ?????? ????? ? ?????????? ??????? ???????? ? ????? ?????? ????? ? ??????? ???? ?????? ?????? ??????? ?? ??????? ??????? ?????? ???? ????????? ?? ?????? ??????	6/30/2025
https://samakal.com/bangladesh/article/303139/%E0%A6%AA%E0%A6%BF%E0%A6%86%E0%A6%B0-%E0%A6%AA%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%A4%E0%A6%BF%E0%A6%B0-%E0%A6%89%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%95%E0%A6%95%E0%A7%8D%E0%A6%B7-%E0%A6%AE%E0%A7%87%E0%A6%A8%E0%A7%87-%E0%A6%A8%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%86%E0%A6%B9%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%A8-%E0%A7%AC%E0%A7%A6-%E0%A6%A8%E0%A6%BE%E0%A6%97%E0%A6%B0%E0%A6%BF%E0%A6%95%E0%A7%87%E0%A6%B0	???? ??????? ???????? ???? ???? ?????? ?? ????????	"??????? ???????? ???????? ??????? ????? ?????? (????) ???????? ?????????? ??? ??????? ????????? ????? ?????? ?????????? ???????? ???????? ?????? ????????? ?? ??????? ?????? ???????? ????? ??????, ????? ???? ???? ??????? ???????? ??????????? ?????"	6/30/2025
https://samakal.com/bangladesh/article/303141/%E0%A6%B8%E0%A6%B0%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A6%BF-%E0%A6%9A%E0%A6%BE%E0%A6%95%E0%A6%B0%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A7%AA-%E0%A6%B2%E0%A6%BE%E0%A6%96-%E0%A7%AC%E0%A7%AE-%E0%A6%B9%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0-%E0%A6%AA%E0%A6%A6-%E0%A6%AB%E0%A6%BE%E0%A6%81%E0%A6%95%E0%A6%BE:-%E0%A6%9C%E0%A6%A8%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B6%E0%A6%BE%E0%A6%B8%E0%A6%A8-%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%A3%E0%A6%BE%E0%A6%B2%E0%A7%9F	?????? ??????? ? ??? ?? ????? ?? ?????: ????????? ??????????	"?????? ??????? ????? ?????? ?? ????? ?????? ???????? ???? ????? ? ??? ?? ????? ????? ?? ?????, ?? ??? ???????? ???? ?? ????? ?? ?????? ?????? ????????? ?????????? ???? ???????? ???? ????? ?????? ??????????? ?????????? ???? ? ???? ???? ?????"	6/30/2025
https://samakal.com/bangladesh/article/302880/%E0%A6%B8%E0%A6%BE%E0%A6%97%E0%A6%B0%E0%A7%87-%E0%A6%B2%E0%A6%98%E0%A7%81%E0%A6%9A%E0%A6%BE%E0%A6%AA-%E0%A6%9A%E0%A6%BE%E0%A6%B0-%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%B0%E0%A7%87-%E0%A7%A9-%E0%A6%A8%E0%A6%AE%E0%A7%8D%E0%A6%AC%E0%A6%B0-%E0%A6%B8%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%95%E0%A6%B8%E0%A6%82%E0%A6%95%E0%A7%87%E0%A6%A4	"????? ??????, ??? ?????? ? ????? ??????????"	?????-?????? ?????????? ??? ????? ???????? ? ?????????? ?????? ???? ?????? ???? ?????? ? ????? ??? ?????? ?????? ? ????? ??????? ????? ?????? ??? ??????	6/29/2025
https://samakal.com/bangladesh/article/302713/%E0%A6%9C%E0%A7%81%E0%A6%B2%E0%A6%BE%E0%A6%87-%E0%A6%97%E0%A6%A3%E0%A6%85%E0%A6%AD%E0%A7%8D%E0%A6%AF%E0%A7%81%E0%A6%A4%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%A4%E0%A6%AE-%E0%A6%85%E0%A6%82%E0%A6%B6%E0%A7%80%E0%A6%9C%E0%A6%A8-%E0%A6%B0%E0%A6%BF%E0%A6%95%E0%A6%B6%E0%A6%BE%E0%A6%93%E0%A7%9F%E0%A6%BE%E0%A6%B2%E0%A6%BE-%E0%A6%AD%E0%A6%BE%E0%A6%87%E0%A7%9F%E0%A7%87%E0%A6%B0%E0%A6%BE:-%E0%A6%86%E0%A6%B8%E0%A6%BF%E0%A6%AB-%E0%A6%AE%E0%A6%BE%E0%A6%B9%E0%A6%AE%E0%A7%81%E0%A6%A6	????? ?????????????? ?????? ?????? ?????????? ???????: ???? ??????	"??????????? ??????? ??????? ?????, ????? ?????? ? ????? ???????????? ???????? ???? ?????? ???? ?????? ??????, ????? ??-???????????? ?????? ?????? ?????? ?????????? ????????"	6/28/2025
https://samakal.com/bangladesh/article/302686/%E2%80%98%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9A-%E0%A6%9F%E0%A7%81-%E0%A6%8F%E0%A6%A8%E0%A6%AC%E0%A6%BF%E0%A6%86%E0%A6%B0%E2%80%99-%E0%A6%B6%E0%A7%81%E0%A6%B0%E0%A7%81-%E0%A6%B8%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%95-%E0%A6%85%E0%A6%AC%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%A8%E0%A7%87-%E0%A6%86%E0%A6%87%E0%A6%A8%E0%A6%B6%E0%A7%83%E0%A6%99%E0%A7%8D%E0%A6%96%E0%A6%B2%E0%A6%BE-%E0%A6%AC%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%80	"‘????? ?? ??????’ ????, ????? ???????? ?????????? ??????"	?????? ?????? ??????? (??????) ????????????? ?????? ? ?? ?????? ?????????? ???????? ?????? ????? ??????? ?????? ‘????? ?? ??????’ ???????? ???? ?????? ????????? ?????????–??????????? ?? ?????? ???? ???? ???????? ???? ?????????? ??????????? ????? ??????? ????????? ??????????? ???????? ?????? ????? ????? ????? ???????	6/28/2025
https://samakal.com/bangladesh/article/302626/%E0%A6%B9%E0%A6%BF%E0%A6%89%E0%A6%AE%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8-%E0%A6%B0%E0%A6%BE%E0%A6%87%E0%A6%9F%E0%A6%B8-%E0%A6%85%E0%A6%B2%E0%A6%BF%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A7%9F%E0%A6%BE%E0%A6%A1-%E0%A7%A8%E0%A7%A6%E0%A7%A8%E0%A7%AB:-%E0%A6%A4%E0%A6%BF%E0%A6%A8-%E0%A6%AC%E0%A6%BF%E0%A6%AD%E0%A6%BE%E0%A6%97%E0%A7%80%E0%A7%9F-%E0%A6%B6%E0%A6%B9%E0%A6%B0%E0%A7%87-%E0%A6%B2%E0%A6%BF%E0%A6%96%E0%A6%BF%E0%A6%A4-%E0%A6%AA%E0%A6%B0%E0%A7%80%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE-%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%A8	???????? ????? ?????????? ????: ??? ??????? ???? ????? ??????? ???????	"?????????? ??? ?‘???????? ????? ??????????-????’ ?? ????? ??????? ???????? ???????? ?? ???????? ????, ????? ? ?????????? ?????? ???????? ???"	6/28/2025
https://samakal.com/bangladesh/article/302786/%E0%A6%AC%E0%A6%9B%E0%A6%B0%E0%A7%87-%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A6%AE%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0%E0%A7%87-%E0%A7%A8%E0%A7%A8-%E0%A6%B2%E0%A6%BE%E0%A6%96%E0%A7%87%E0%A6%B0-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A7%87%E0%A6%B6-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%A3-%E0%A6%AA%E0%A6%BE%E0%A7%9F-%E0%A7%A7-%E0%A7%AF-	"???? ?????????? ?? ????? ??????, ????????? ??? ?.?%"	???? ???????? ?????????? ?????? ???? ????? ?? ??? ???? ???????? ?????? ??? ????? ????? ????? ? ????? ? ????? ?????????? ?????? ????????? ??????? ????? ???? ???? ???? ???? ?????????????	6/28/2025
